Year,Quarter,Model 3 sales,Luxury Models sold
2008,2,0,3
2008,3,0,27
2008,4,0,70
2009,1,0,220
2009,2,0,180
2009,3,0,200
2009,4,0,300
2010,1,0,100
2010,2,0,100
2010,3,0,100
2010,4,0,100
2011,1,0,198
2011,2,0,198
2011,3,0,198
2011,4,0,200
2012,1,0,99
2012,2,0,89
2012,3,0,321
2012,4,0,2400
2013,1,0,4900
2013,2,0,5150
2013,3,0,5500
2013,4,0,6892
2014,1,0,6457
2014,2,0,7579
2014,3,0,7785
2014,4,0,9834
2015,1,0,10045
2015,2,0,11532
2015,3,0,11603
2015,4,0,17478
2016,1,0,14810
2016,2,0,14402
2016,3,0,24821
2016,4,0,22252
2017,1,0,25051
2017,2,0,22026
2017,3,0,26137
2017,4,0,29967
2018,1,9766,20214
2018,2,28578,12162
2018,3,53239,30261
2018,4,61394,29306
2019,1,62975,12100
2019,2,72548,22652
2019,3,79837,17163
2019,4,86958,25042
